,Provincia,mar. 12,mar. 13,mar. 14,mar. 15,mar. 16,mar. 17,mar. 18,mar. 19,mar. 20,mar. 21,mar. 22,mar. 23,mar. 24,mar. 25,mar. 26,mar. 27,mar. 28,mar. 29,mar. 30,mar. 31,abr. 01,abr. 02,abr. 03,abr. 04,abr. 05,abr. 06,abr. 07,abr. 08,abr. 09,abr. 10,abr. 11,abr. 12,abr. 13,abr. 14,abr. 15,abr. 16,abr. 17,abr. 18,abr. 19,abr. 20,abr. 21,abr. 22,abr. 23,abr. 24,abr. 25,abr. 26,abr. 27,abr. 28,abr. 29,abr. 30,may. 01,Abreviaturas
0,Azuay,0,0,1,1,1,5,5,14,18,19,19,23,28,31,37,42,42,53,57,78,94,99,99,99,99,100,100,107,116,151,154,178,182,192,200,205,207,217,223,232,247,273,285,449,449,449,314,426,432,460,490,EC-A
1,Bolívar,0,0,0,0,0,0,2,2,4,5,8,9,9,11,11,12,14,14,14,15,20,26,26,26,27,27,27,27,30,32,33,33,33,33,33,39,39,45,49,54,55,59,66,105,105,105,124,125,129,133,151,EC-B
2,Cañar,0,0,0,0,0,0,0,3,3,3,4,5,7,12,15,16,19,26,28,39,49,53,56,56,59,59,59,64,75,90,94,97,100,104,105,117,118,125,137,145,149,162,166,269,269,269,211,285,288,297,312,EC-F
3,Carchi,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,6,6,6,7,9,9,12,12,14,14,15,17,23,24,25,26,26,26,26,28,33,35,35,35,38,59,59,59,42,49,49,53,58,EC-C
4,Chimborazo,0,0,0,0,0,0,0,2,3,4,9,9,11,11,11,11,15,15,15,17,18,24,25,31,32,46,50,51,54,65,65,74,85,86,90,99,105,108,112,116,121,124,130,219,219,219,145,157,160,167,208,EC-H
5,Cotopaxi,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,5,5,8,10,12,13,16,17,23,28,28,30,33,36,42,42,43,45,46,50,51,54,57,57,59,68,109,109,109,80,87,90,100,120,EC-X
6,El Oro,0,0,0,0,0,1,1,1,2,2,6,9,14,17,20,21,23,25,30,34,52,56,56,56,56,58,58,82,97,137,149,150,160,166,183,193,207,247,257,266,276,289,300,477,477,477,327,448,457,474,559,EC-O
7,Esmeraldas,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,7,7,10,10,11,14,14,16,17,20,25,27,31,31,38,38,41,44,53,85,86,89,102,102,104,115,195,195,195,143,164,173,187,208,EC-E
8,Galápagos,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,7,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,42,53,54,54,54,54,54,86,86,86,59,60,66,68,70,EC-W
9,Guayas,1,5,11,19,37,81,128,187,318,397,607,769,826,885,1021,1202,1345,1377,1397,1615,1941,2243,2388,2402,2524,2534,2706,3047,3384,5281,5290,5381,5395,5417,5551,5754,5777,6150,6448,6921,7108,7391,7502,15365,15365,15365,10172,10200,10417,10436,11207,EC-G
10,Imbabura,0,0,0,0,0,0,0,1,2,3,4,4,4,8,8,9,9,9,9,10,15,16,18,20,20,21,21,21,24,32,32,33,33,33,34,35,43,43,47,49,51,51,58,97,97,97,77,81,81,89,98,EC-I
11,Loja,0,0,0,0,0,0,0,4,5,5,5,5,7,8,9,12,13,15,21,22,27,27,27,27,27,27,27,34,49,56,59,65,69,72,85,86,98,105,116,128,132,132,136,213,213,213,143,223,224,232,251,EC-L
12,Los Ríos,1,11,11,10,10,10,10,16,19,22,25,28,37,40,52,58,60,60,60,80,100,131,138,153,158,158,159,175,193,226,227,239,239,240,255,274,276,304,329,378,382,390,402,668,668,668,662,665,687,693,803,EC-R
13,Manabí,0,0,0,0,1,1,8,8,9,9,25,27,32,38,38,40,44,50,50,54,56,61,67,71,77,88,115,132,159,188,204,214,215,219,227,244,262,274,286,296,296,316,330,1869,1869,1869,514,554,601,612,633,EC-M
14,Morona Santiago,0,0,0,0,0,1,1,3,3,3,3,6,6,7,8,8,8,9,10,10,10,10,10,10,10,11,12,17,18,19,19,19,20,21,21,21,23,26,28,30,30,31,31,48,48,48,34,61,61,61,72,EC-S
15,Napo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,4,6,6,8,8,8,8,8,8,9,9,10,12,20,20,20,15,19,23,23,30,EC-N
16,Orellana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,5,5,5,6,6,6,6,7,9,9,9,10,12,12,14,31,31,31,28,30,33,33,35,EC-D
17,Pastaza,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,5,5,5,7,9,9,11,12,12,12,12,13,13,13,13,14,16,17,18,18,20,20,20,20,25,39,39,39,32,43,44,46,50,EC-Y
18,Pichincha,0,3,4,6,8,8,12,16,35,50,60,65,72,108,121,137,171,188,191,219,248,259,285,321,345,395,418,440,494,579,606,627,634,646,674,736,779,794,819,841,868,926,991,1634,1634,1634,1194,1298,1351,1420,1507,EC-P
19,Santa Elena,0,0,0,0,0,3,0,0,1,1,2,4,6,6,7,10,10,10,10,17,30,44,48,48,52,52,52,55,63,74,74,77,78,78,92,95,95,135,145,163,165,177,182,321,321,321,343,347,360,362,412,EC-SE
20,Santo Domingo de los Tsáchilas,0,0,0,0,0,0,0,1,1,4,4,7,7,7,8,9,15,15,15,18,19,24,26,31,34,36,43,44,46,51,55,60,65,66,67,68,76,79,79,94,94,97,123,197,197,197,138,179,180,202,244,EC-SD
21,Sucumbíos,0,1,1,1,1,1,1,2,3,3,6,6,6,6,18,18,18,25,25,27,27,27,27,27,30,30,33,33,33,34,33,33,33,33,33,33,34,34,34,34,34,35,35,55,55,55,36,39,39,42,44,EC-U
22,Tungurahua,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,9,10,12,13,22,22,22,22,23,25,29,36,42,43,43,47,53,65,66,72,74,81,82,96,152,152,152,135,145,157,170,189,EC-T
23,Zamora Chinchipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,8,17,20,20,20,21,24,42,42,42,36,43,43,44,55,EC-Z
24,Total,2,20,28,37,58,111,168,260,426,532,789,981,1082,1211,1403,1627,1835,1924,1966,2302,2758,3163,3368,3465,3646,3747,3995,4450,4965,7161,7257,7466,7529,7602,7858,8225,8450,9022,9468,10128,10398,10850,11183,22719,22719,22719,15004,15728,16145,16404,17806,
